count,encroached,area_m2,area_feddan,patch_id,mean_carbon_potential,rank,centroid_lat,centroid_lon,relative_carbon_loss_share_pct,size_class
1,1,85.42969121062869,0.020336383812396285,KED-ENCR-0133,14.948266998518653,126,31.12074062963135,30.12675476775198,0.0019431558154139495,Small (<500 m²)
1,1,85.42934456574977,0.02033630129420847,KED-ENCR-0157,1.8613542120573232,127,31.120830461159745,30.129180219019105,0.00024196026107221736,Small (<500 m²)
1,1,85.42895864723891,0.020336209427003454,KED-ENCR-0176,49.557549741153096,128,31.120920292688158,30.131964996399873,0.006442032058081361,Small (<500 m²)
1,1,85.42893888543463,0.02033620472274161,KED-ENCR-0178,48.59782617200173,129,31.120920292688176,30.1321446594567,0.006317275235919851,Small (<500 m²)
1,1,85.42886864338884,0.020336188001749377,KED-ENCR-0175,7.216603124942915,130,31.121099955745002,30.13133617570099,0.0009380919747839745,Small (<500 m²)
1,1,85.4288285886871,0.020336178466799918,KED-ENCR-0172,14.137749553796198,131,31.121189787273405,30.130976849587345,0.0018377764371912283,Small (<500 m²)
1,1,85.42730982655644,0.02033581692821572,KED-ENCR-0048,1.2746432635419191,132,31.12460338535305,30.117322457268727,0.00016568886733255117,Small (<500 m²)
1,1,85.42463522487543,0.020335180244112575,KED-ENCR-0086,6.516594224000085,133,31.12702883662019,30.122083528274562,0.0008470552836833073,Small (<500 m²)
1,1,85.42379933991587,0.020334981263206528,KED-ENCR-0075,84.6396419403795,134,31.128016983432712,30.121724202160916,0.011001721438516559,Small (<500 m²)
1,1,85.42375505187314,0.020334970720517886,KED-ENCR-0169,6.037214556386976,135,31.12693900509178,30.13079718653052,0.0007847353421619481,Small (<500 m²)
1,1,85.42284559908427,0.020334754226922838,KED-ENCR-0121,2.4233887438922648,136,31.12873563566001,30.124598811070097,0.000314996018605708,Small (<500 m²)
1,1,85.42257565993354,0.020334689968395186,KED-ENCR-0085,6.721256473520974,137,31.1293644563589,30.121993696746152,0.0008736371100985889,Small (<500 m²)
1,1,85.42211728317749,0.020334580852635665,KED-ENCR-0060,50.943732463017135,138,31.130083108586188,30.120376729234735,0.006621692917295476,Small (<500 m²)
1,1,85.42132375852353,0.020334391955523914,KED-ENCR-0125,40.97564650154394,139,31.130352603171442,30.125407294825806,0.005325986428812442,Small (<500 m²)
1,1,85.42045686021322,0.02033418559194569,KED-ENCR-0103,4.5579093454188015,140,31.1316102445692,30.123161506615507,0.0005924279183250201,Small (<500 m²)
1,1,85.41888354486842,0.020333811067067324,KED-ENCR-0064,34.227618371656845,141,31.13367636972268,30.12082588687679,0.004448755270354693,Small (<500 m²)
1,1,85.41846751409169,0.020333712031691757,KED-ENCR-0122,5.819559995472467,142,31.13367636972268,30.124598811070097,0.0007563971242227752,Small (<500 m²)
1,1,85.41725091805364,0.02033342242320057,KED-ENCR-0181,8.933344233349127,143,31.133856032779487,30.134210784610172,0.0011610945934746623,Small (<500 m²)
1,1,85.41721205185841,0.02033341317117294,KED-ENCR-0072,3.9147050578414007,144,31.13547300029091,30.12154453910409,0.0005088061862137458,Small (<500 m²)
1,1,85.41686387251178,0.020333330287707854,KED-ENCR-0077,19.191719609799282,145,31.135832326404557,30.121814033689326,0.0024943963117337363,Small (<500 m²)
1,1,85.41675150137524,0.020333303537961603,KED-ENCR-0007,20.61152957106967,146,31.13708996780233,30.11274104931972,0.002678929077185313,Small (<500 m²)
1,1,85.4166838084953,0.020333287423793703,KED-ENCR-0182,9.786338423273104,147,31.134484853478394,30.13430061613859,0.0012719524620409398,Small (<500 m²)
1,1,85.41666851822349,0.020333283783972093,KED-ENCR-0145,2.812947006281016,148,31.13529333723407,30.12792257762134,0.00036560499698661686,Small (<500 m²)
1,1,85.41656862481078,0.020333260004525483,KED-ENCR-0138,6.415950939864374,149,31.13547300029091,30.12738358845086,0.0008338944798942585,Small (<500 m²)
1,1,85.41627367097982,0.020333189791298344,KED-ENCR-0001,39.047258487941086,150,31.13771878850121,30.11202239709242,0.005075035824801498,Small (<500 m²)
1,1,85.41624969703142,0.020333184084343193,KED-ENCR-0132,29.85687284515814,151,31.135922157932967,30.12666493622357,0.0038805453351812,Small (<500 m²)
1,1,85.4158490580574,0.020333088712958487,KED-ENCR-0092,15.41726348641733,152,31.136910304745502,30.122353022859798,0.0020037969012206888,Small (<500 m²)
1,1,85.41584036143009,0.02033308664274205,KED-ENCR-0123,0.15268443367691253,153,31.13664081016027,30.124598811070097,1.9844544019486565e-05,Small (<500 m²)
1,1,85.41558048385976,0.02033302477935545,KED-ENCR-0096,27.24573265882409,154,31.137179799330738,30.122622517445034,0.0035411435406689485,Small (<500 m²)
1,1,85.41542204799349,0.020332987063983423,KED-ENCR-0120,8.929066238084674,155,31.137179799330738,30.124059821899625,0.0011605137207875008,Small (<500 m²)
1,1,85.41529254246728,0.02033295623542664,KED-ENCR-0113,6.088659939277517,156,31.137359462387558,30.12379032731439,0.0007913439657647943,Small (<500 m²)
